County,Radionuclide,Radionuclide Count
Hauts-de-Seine," 154Eu, 111In, 18F,  232Th,  63Ni, 54Mn, 201Tl,  230Th,  U,  108mAg, 99Tc,  55Fe, 131I,  237Np,  22Na, 90Sr,  40K,  204Tl, 99mTc, 90Y, 210Pb,  152Eu,  235U, 67Ga,  57Co,  109Cd,  238U, 3H,  133Ba,  99Tc,  241Am,  231Pa,  226Ra, 68Ga,  36Cl,  58Co,  238Pu, 123I,  90Sr, 60Co,  56Co, 177Lu,  14C,  137Cs,  51Cr,  Th,  60Co,  210Pb,  210Po",49
Hérault,"90Y, 131I, 111In, 18F,  59Fe, 123I, 54Mn, 99Mo, 201Tl, 177Lu,  60Co,  45Ca,  46Sc, 226Ra,  55Fe, 125I, 99mTc",17
Ille-et-Vilaine,"111In,  63Ni, 54Mn,  232U,  45Ca,  55Fe,  242Pu, 131I,  52Mn,  22Na, 90Sr, 153Sm, 99mTc,  152Eu,  110mAg,  57Co,  243Am, 3H,  133Ba,  99Tc,  58Co,  36Cl, 123I,  90Sr, 60Co,  56Co, 177Lu,  241Pu,  14C,  137Cs,  51Cr,  60Co",32
Indre-et-Loire,"111In, 18F,  63Ni, 54Mn, 55Fe,  55Fe, 57Co, 131I,  65Zn, 99mTc, 99Mo,  110mAg, 3H,  59Ni, 68Ga,  58Co, 123I,  90Sr, 177Lu,  241Pu,  14C,  137Cs,  60Co",23
Isère,"111In, 18F, 54Mn, 201Tl, 131I,  22Na, 22Na,  65Zn, 99mTc,  54Mn, 90Y,  110mAg,  134Cs,  57Co,  99Tc, 3H, 68Ga,  58Co, 177Lu,  14C,  137Cs,  99mTc,  60Co, 125I",24
La Réunion," 198Au,  58Co,  56Co, 54Mn,  57Co,  109Cd,  51Cr,  65Zn,  181W,  124Sb",10
Loir-et-Cher," 58Co, 54Mn,  110mAg,  137Cs,  60Co,  65Zn",6
Loire,"90Y, 68Ga, 131I, 111In, 18F, 123I, 201Tl, 67Ga, 99mTc",9
Loire-Atlantique," 83Rb, 111In, 18F,  63Ni,  U,  55Fe, 131I,  22Na, 22Na,  65Zn, 99mTc,  54Mn, 90Y,  152Eu,  57Co,  238U,  99Tc, 3H, 225Ac,  241Am,  226Ra, 68Ga, 123I, 60Co, 85Sr, 177Lu, 83Rb,  14C,  137Cs,  60Co, 125I,  210Pb",32
Loiret,"111In, 18F,  125Sb, 54Mn, 201Tl,  108mAg, 131I, 22Na,  65Zn, 99mTc,  54Mn,  228Th,  110mAg,  57Co,  58Co, 123I,  137Cs,  60Co,  210Pb",19
Lot-et-Garonne,"131I, 111In, 123I, 201Tl, 67Ga, 99mTc",6
Maine-et-Loire,"131I, 111In, 18F, 123I, 68Ge, 99mTc",6
Manche," 154Eu,  125Sb,  63Ni, 54Mn, 137Cs,  106Rh, 55Fe,  108mAg,  55Fe,  242Pu, 90Sr, 238Pu,  65Zn,  106Ru, 63Ni,  110mAg,  240Pu,  134Cs,  239Pu, 3H,  241Am,  58Co,  238Pu,  90Sr, 60Co,  129I,  244Cm,  241Pu,  14C,  137Cs,  60Co,  147Pm",32
Marne,"131I, 111In, 18F, 123I, 201Tl, 99mTc",6
Martinique,"131I, 111In, 99mTc, 201Tl, 67Ga, 153Sm",6
Meurthe-et-Moselle,"57Co, 68Ga,  54Mn, 131I, 18F,  58Co,  56Co, 99Mo, 201Tl, 177Lu, 68Ge,  57Co,  51Cr, 125I, 3H, 99mTc",16
Monaco,"131I, 18F,  237Np, 123I, 90Sr, 177Lu,  229Th,  235U, 68Ge,  137Cs, 99mTc,  210Pb",12
Moselle,"131I,  58Co, 111In, 18F, 123I, 54Mn, 201Tl,  110mAg,  137Cs,  60Co,  65Zn, 99mTc",12
