,County,Radionuclide_1,Radionuclide_2,Radionuclide_3,Radionuclide_4,Radionuclide_5,Radionuclide_6,Count
168,Manche,60Co, 125Sb, 137Cs, 134Cs, 241Am, 108mAg,1
169,Manche,60Co, 63Ni, 90Sr, 137Cs, 147Pm, 241Pu,1
170,Manche,63Ni, 90Sr, 137Cs, 147Pm, 241Pu, 241Am,4
171,Manche,90Sr, 106Ru, 137Cs, 134Cs, 147Pm, 244Cm,1
172,Manche,90Sr, 125Sb, 137Cs, 134Cs, 154Eu, 106Rh,1
173,Manche,90Sr, 137Cs, 238Pu, 239Pu, 240Pu, 241Am,1
174,Manche,90Sr, 137Cs, 238Pu, 239Pu, 240Pu, 241Pu,1
175,Manche,90Sr, 137Cs, 238Pu, 240Pu, 241Pu, 241Am,1
176,Marne,18F,111In,123I,131I,201Tl,99mTc,1
177,Martinique,67Ga,111In,131I,153Sm,201Tl,99mTc,1
178,Meurthe-et-Moselle,18F,68Ga,125I,131I,99mTc,177Lu,1
179,Meurthe-et-Moselle,3H, 54Mn, 57Co, 58Co, 51Cr, 56Co,1
180,Meurthe-et-Moselle,57Co,68Ge,18F,99Mo,201Tl,99mTc,1
181,Monaco?,68Ge,18F,123I,131I,99mTc,177Lu,1
182,Monaco?,90Sr, 137Cs, 210Pb, 229Th, 235U, 237Np,1
183,Moselle,18F,111In,123I,131I,201Tl,99mTc,1
184,Moselle,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,29
185,Nièvre,18F,111In,123I,131I,201Tl,99mTc,1
186,Nord,186Re,51Cr,123I,131I,153Sm,99mTc,1
187,Nord,18F,111In,123I,131I,99mTc,90Y,1
188,Nord,18F,123I,131I,99mTc,90Y,177Lu,1
189,Nord,18F,67Ga,111In,123I,201Tl,99mTc,1
190,Nord,54Mn, 60Co, 125Sb, 137Cs, 134Cs, 58Co,10
191,Nord,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,29
192,Nord,67Ga,111In,123I,131I,201Tl,99mTc,3
193,Nord,99Tc,67Ga,111In,123I,131I,201Tl,1
194,Paris,111In,123I,125I,131I,201Tl,99mTc,1
195,Paris,111In,123I,169Er,201Tl,99mTc,90Y,1
196,Paris,18F,111In,125I,131I,99mTc,177Lu,2
197,Paris,18F,68Ga,123I,131I,99mTc,177Lu,1
198,Paris,3H, 14C, 137Cs, 232Th, 238U, 241Am,1
199,Paris,3H, 210Pb, 226Ra, 230Th, 234U, 238U,1
200,Paris,54Mn, 57Co, 109Cd, 58Co, 51Cr, 56Co,2
201,Paris,60Co, 57Co, 58Co, 124Sb, 122Sb, 181W,1
202,Pas-de-Calais,18F,67Ga,111In,123I,201Tl,99mTc,2
203,Pas-de-Calais,18F,67Ga,123I,131I,201Tl,99mTc,1
204,Pas-de-Calais,54Mn, 60Co, 109Cd, 58Co, 51Cr, 56Co,1
205,Pas-de-Calais,67Ga,111In,123I,131I,153Sm,99mTc,1
206,Puy-de-Dôme,18F,123I,125I,131I,99mTc,177Lu,1
207,Pyrénées-Atlantiques,18F,67Ga,123I,131I,201Tl,99mTc,1
208,Pyrénées-Orientales,18F,111In,123I,201Tl,99mTc,90Y,1
209,Rhône,137Cs, 226Ra, 234U, 235U, 238U, 125I,1
210,Rhône,18F,111In,123I,131I,99mTc,90Y,1
211,Rhône,18F,123I,131I,201Tl,99mTc,177Lu,1
212,Rhône,3H, 14C, 109Cd, 137Cs, 153Gd, 226Ra,1
213,Rhône,3H, 14C, 137Cs, 232Th, 234U, 235U,1
214,Rhône,3H, 14C, 232Th, 234U, 235U, 238U,1
215,Rhône,3H, 14C, 63Ni, 232Th, 235U, 238U,1
216,Rhône,3H, 14C, 63Ni, 234U, 235U, 238U,1
217,Rhône,60Co, 137Cs, 210Pb, 226Ra, 232Th, U,1
218,Sarthe,99Mo,111In,123I,131I,201Tl,99mTc,1
219,Savoie,18F,111In,123I,131I,153Sm,99mTc,1
220,Saône-et-Loire,67Ga,111In,123I,131I,201Tl,99mTc,1
221,Seine-Maritime,18F,123I,131I,99mTc,90Y,177Lu,1
222,Seine-Maritime,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,61
223,Seine-Saint-Denis,18F,111In,123I,125I,201Tl,99mTc,1
224,Somme,18F,111In,123I,125I,131I,99mTc,1
225,Somme,18F,67Ga,99Mo,111In,201Tl,99mTc,1
226,Tarn,18F,111In,123I,131I,201Tl,99mTc,1
227,Tarn-et-Garonne,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,29
228,Territoire de Belfort,18F,111In,123I,131I,201Tl,99mTc,1
229,Val-d'Oise,18F,67Ga,111In,123I,131I,99mTc,1
230,Val-d'Oise,3H, 57Co, 58Co, 51Cr, 56Co, 183Re,1
231,Val-de-Marne,18F,111In,123I,131I,201Tl,99mTc,1
232,Val-de-Marne,18F,111In,123I,131I,99mTc,177Lu,1
233,Val-de-Marne,3H, 60Co, 137Cs, 133Ba, 235U, 238U,1
234,Val-de-Marne,67Ga,111In,123I,131I,201Tl,99mTc,1
235,Val-de-Marne,90Sr, 137Cs, 226Ra, 239Pu, 240Pu, 241Am,1
236,Var,18F,111In,123I,131I,99mTc,90Y,1
237,Vaucluse,137Cs, 238Pu, 239Pu, 240Pu, 241Pu, 241Am,1
238,Vaucluse,137Cs, 239Pu, 240Pu, 241Pu, 242Pu, 241Am,3
239,Vaucluse,3H, 106Ru, 129I, 137Cs, 234U, Pu,1
240,Vaucluse,3H, 106Ru, 129I, 137Cs, U, Pu,1
241,Vaucluse,3H, 55Fe, 60Co, 63Ni, 90Sr, 137Cs,2
242,Vaucluse,3H, 60Co, 137Cs, 134Cs, Pu, Am,1
243,Vaucluse,3H, 60Co, 63Ni, 137Cs, Pu, Am,2
244,Vaucluse,54Mn, 55Fe, 60Co, 63Ni, 110mAg, 58Co,2
245,Vaucluse,54Mn, 60Co, 110mAg, 137Cs, 241Am, 58Co,1
246,Vaucluse,54Mn, 60Co, 110mAg, 137Cs, U, 58Co,1
247,Vaucluse,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,43
248,Vaucluse,54Mn, 65Zn, 110mAg, 137Cs, 58Co, 56Co,1
249,Vaucluse,55Fe, 60Co, 90Sr, 137Cs, 241Am, Pu,5
250,Vaucluse,60Co, 110mAg, 125Sb, 137Cs, 134Cs, 154Eu,5
251,Vaucluse,60Co, 57Co, 137Cs, 134Cs, 241Am, 95Zr,2
252,Vaucluse,60Co, 65Zn, 110mAg, 137Cs, U, 58Co,1
253,Vaucluse,60Co, 90Sr, 137Cs, 241Am, 244Cm, Pu,1
254,Vaucluse,90Sr, 125Sb, 137Cs, 241Am, Pu, 90Y,1
255,Vaucluse,90Sr, 137Cs, 238Pu, 239Pu, 240Pu, 241Am,2
256,Vendée,18F,111In,123I,131I,99mTc,90Y,1
257,Vienne,111In,123I,131I,99mTc,90Y,177Lu,1
258,Vienne,54Mn, 60Co, 65Zn, 110mAg, 137Cs, 58Co,25
259,Yonne,18F,111In,123I,131I,201Tl,99mTc,1
260,Yvelines,18F,111In,123I,131I,201Tl,99mTc,1
261,Yvelines,3H, 14C, 90Sr, Th, Pu, Am,1
262,Yvelines,3H, 14C, 90Sr, U, Th, Am,1
263,Yvelines,3H, 90Sr, 232Th, Pu, Am, Po,1
264,Yvelines,60Co, 137Cs, 133Ba, 226Ra, U, Th,1
